,model,task,pe_technique,significance at 0.05,significance at 0.01,significance at 0.001,eff_size,eff_desc,is_improved
0,gemini-pro-chat,math-number,zero-shot vs null-shot,False,False,False,,,False
1,gemini-pro-chat,math-number,zero-shot-cot vs null-shot-cot,False,False,False,,,True
2,gemini-pro-chat,math-algebra,zero-shot vs null-shot,True,False,False,-0.23214285714285715,small,True
3,gemini-pro-chat,math-algebra,zero-shot-cot vs null-shot-cot,True,True,True,-0.4222222222222223,medium,True
4,gemini-pro-chat,anli,zero-shot vs null-shot,False,False,False,,,True
5,gemini-pro-chat,anli,zero-shot-cot vs null-shot-cot,True,True,True,0.3154362416107383,medium,False
6,gemini-pro-chat,triviaqa,zero-shot vs null-shot,True,True,True,0.9534883720930232,large,False
7,gemini-pro-chat,triviaqa,zero-shot-cot vs null-shot-cot,True,True,True,0.9807383627608346,large,False
8,gemini-pro-chat,halueval-summarization,zero-shot vs null-shot,False,False,False,,,False
9,gemini-pro-chat,race-m,zero-shot vs null-shot,False,False,False,,,True
10,gemini-pro-chat,race-m,zero-shot-cot vs null-shot-cot,True,True,False,0.3333333333333333,medium,False
11,gemini-pro-chat,strategyqa,zero-shot vs null-shot,True,True,True,0.6582914572864322,large,False
12,gemini-pro-chat,strategyqa,zero-shot-cot vs null-shot-cot,True,True,True,0.9986657771847898,large,False
13,gemini-pro-chat,winogrande,zero-shot vs null-shot,False,False,False,,,False
14,gemini-pro-chat,winogrande,zero-shot-cot vs null-shot-cot,True,True,True,1.0,large,False
15,gemini-pro-chat,math-pre-algebra,zero-shot vs null-shot,True,True,False,-0.3770491803278688,medium,True
16,gemini-pro-chat,math-pre-algebra,zero-shot-cot vs null-shot-cot,True,True,True,-0.3966480446927374,medium,True
17,gemini-pro-chat,math-int-algebra,zero-shot vs null-shot,False,False,False,,,False
18,gemini-pro-chat,math-int-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,False
19,gemini-pro-chat,gsm8k,zero-shot vs null-shot,True,True,True,-0.4541176470588235,medium,True
20,gemini-pro-chat,gsm8k,zero-shot-cot vs null-shot-cot,True,True,True,0.4082397003745319,medium,False
21,gemini-pro-chat,aqua,zero-shot vs null-shot,True,True,False,-0.3333333333333333,medium,True
22,gemini-pro-chat,aqua,zero-shot-cot vs null-shot-cot,False,False,False,,,True
23,gemini-pro-chat,halueval-qa,zero-shot vs null-shot,True,True,True,-0.3333333333333333,medium,True
24,gemini-pro-chat,race-h,zero-shot vs null-shot,True,True,True,-0.26627218934911245,small,True
25,gemini-pro-chat,race-h,zero-shot-cot vs null-shot-cot,False,False,False,,,False
26,gemini-pro-chat,halueval-general,zero-shot vs null-shot,False,False,False,,,True
27,gemini-pro-chat,halueval-dialogue,zero-shot vs null-shot,False,False,False,,,True
28,gemini-pro-chat,math-geometry,zero-shot vs null-shot,False,False,False,,,True
29,gemini-pro-chat,math-geometry,zero-shot-cot vs null-shot-cot,True,False,False,-0.2698412698412698,small,True
30,gemini-pro-chat,math-count-prob,zero-shot vs null-shot,False,False,False,,,True
31,gemini-pro-chat,math-count-prob,zero-shot-cot vs null-shot-cot,True,True,False,-0.3584905660377358,medium,True
32,gemini-pro-chat,math-pre-calc,zero-shot vs null-shot,False,False,False,,,False
33,gemini-pro-chat,math-pre-calc,zero-shot-cot vs null-shot-cot,False,False,False,,,True
34,palm-2-chat,math-number,zero-shot vs null-shot,True,True,True,-0.6666666666666667,large,True
35,palm-2-chat,math-number,zero-shot-cot vs null-shot-cot,False,False,False,,,True
36,palm-2-chat,math-algebra,zero-shot vs null-shot,True,True,True,-0.7536231884057971,large,True
37,palm-2-chat,math-algebra,zero-shot-cot vs null-shot-cot,True,True,True,-0.37777777777777777,medium,True
38,palm-2-chat,anli,zero-shot vs null-shot,False,False,False,,,True
39,palm-2-chat,anli,zero-shot-cot vs null-shot-cot,False,False,False,,,False
40,palm-2-chat,triviaqa,zero-shot vs null-shot,False,False,False,,,False
41,palm-2-chat,triviaqa,zero-shot-cot vs null-shot-cot,False,False,False,,,False
42,palm-2-chat,halueval-summarization,zero-shot vs null-shot,True,True,True,-0.6376811594202898,large,True
43,palm-2-chat,race-m,zero-shot vs null-shot,False,False,False,,,True
44,palm-2-chat,race-m,zero-shot-cot vs null-shot-cot,False,False,False,,,True
45,palm-2-chat,strategyqa,zero-shot vs null-shot,False,False,False,,,True
46,palm-2-chat,strategyqa,zero-shot-cot vs null-shot-cot,True,True,True,-0.44360902255639095,medium,True
47,palm-2-chat,winogrande,zero-shot vs null-shot,True,True,True,-0.3246753246753247,medium,True
48,palm-2-chat,winogrande,zero-shot-cot vs null-shot-cot,True,True,False,0.24285714285714288,small,False
49,palm-2-chat,math-pre-algebra,zero-shot vs null-shot,True,True,True,-0.6396396396396395,large,True
50,palm-2-chat,math-pre-algebra,zero-shot-cot vs null-shot-cot,True,True,False,-0.2987012987012987,small,True
51,palm-2-chat,math-int-algebra,zero-shot vs null-shot,True,True,True,-0.4202898550724638,medium,True
52,palm-2-chat,math-int-algebra,zero-shot-cot vs null-shot-cot,False,False,False,,,True
53,palm-2-chat,gsm8k,zero-shot vs null-shot,False,False,False,,,True
54,palm-2-chat,gsm8k,zero-shot-cot vs null-shot-cot,True,True,True,0.21804511278195493,small,False
55,palm-2-chat,aqua,zero-shot vs null-shot,False,False,False,,,True
56,palm-2-chat,aqua,zero-shot-cot vs null-shot-cot,False,False,False,,,False
57,palm-2-chat,halueval-qa,zero-shot vs null-shot,True,True,True,-0.6446789797713282,large,True
58,palm-2-chat,race-h,zero-shot vs null-shot,False,False,False,,,True
59,palm-2-chat,race-h,zero-shot-cot vs null-shot-cot,False,False,False,,,True
