model,task,method,Correct,Incorrect,Empty
pythia-160m,math-number,zero-shot,0,540,0
pythia-160m,math-number,null-shot,0,540,0
pythia-160m,math-algebra,zero-shot,0,1187,0
pythia-160m,math-algebra,null-shot,0,1187,0
pythia-160m,anli,zero-shot,90,1110,0
pythia-160m,anli,null-shot,66,1134,0
pythia-160m,triviaqa,zero-shot,32,968,0
pythia-160m,triviaqa,null-shot,23,977,0
pythia-160m,race-m,zero-shot,34,1402,0
pythia-160m,race-m,null-shot,40,1396,0
pythia-160m,strategyqa,zero-shot,512,1778,0
pythia-160m,strategyqa,null-shot,813,1477,0
pythia-160m,winogrande,zero-shot,74,1193,0
pythia-160m,winogrande,null-shot,42,1225,0
pythia-160m,math-pre-algebra,zero-shot,0,871,0
pythia-160m,math-pre-algebra,null-shot,0,871,0
pythia-160m,math-int-algebra,zero-shot,0,903,0
pythia-160m,math-int-algebra,null-shot,0,903,0
pythia-160m,gsm8k,zero-shot,18,1301,0
pythia-160m,gsm8k,null-shot,17,1302,0
pythia-160m,aqua,zero-shot,21,233,0
pythia-160m,aqua,null-shot,15,239,0
pythia-160m,race-h,zero-shot,51,3447,0
pythia-160m,race-h,null-shot,52,3446,0
pythia-160m,math-geometry,zero-shot,0,479,0
pythia-160m,math-geometry,null-shot,0,479,0
pythia-160m,math-count-prob,zero-shot,0,474,0
pythia-160m,math-count-prob,null-shot,0,474,0
pythia-160m,math-pre-calc,zero-shot,0,546,0
pythia-160m,math-pre-calc,null-shot,0,546,0
qwen-1.5-0.5b-chat,math-number,zero-shot,4,536,0
qwen-1.5-0.5b-chat,math-number,null-shot,1,539,0
qwen-1.5-0.5b-chat,math-algebra,zero-shot,5,1182,0
qwen-1.5-0.5b-chat,math-algebra,null-shot,8,1179,0
qwen-1.5-0.5b-chat,anli,zero-shot,298,902,0
qwen-1.5-0.5b-chat,anli,null-shot,326,874,0
qwen-1.5-0.5b-chat,triviaqa,zero-shot,120,880,0
qwen-1.5-0.5b-chat,triviaqa,null-shot,113,887,0
qwen-1.5-0.5b-chat,race-m,zero-shot,644,792,0
qwen-1.5-0.5b-chat,race-m,null-shot,553,883,0
qwen-1.5-0.5b-chat,strategyqa,zero-shot,1046,1244,0
qwen-1.5-0.5b-chat,strategyqa,null-shot,1012,1278,0
qwen-1.5-0.5b-chat,winogrande,zero-shot,597,670,0
qwen-1.5-0.5b-chat,winogrande,null-shot,563,704,0
