model,Average Correct to Incorrect,Average Incorrect to Correct,Average No Change
claude-2.1,14.009649134368091,9.654827656175739,76.33552320945617
claude-3-haiku,11.6898825107286,11.42420852282832,76.88590896644308
claude-3-opus,14.4954207766591,7.749169337387101,77.75540988595381
claude-3-sonnet,27.060775600354532,7.241244478852928,65.69797992079253
gemini-pro-chat,18.34307583470051,6.873177886754935,74.78374627854457
gemini-pro-text,18.33333121908977,6.921516980015391,74.74515180089483
gpt-3.5-turbo,12.331741127995523,9.904588906596185,77.7636699654083
gpt-4-turbo,10.203066054275325,10.009371892453585,79.78756205327109
palm-2-chat,4.584001332141357,5.210862162160481,90.20513650569816
palm-2-text,6.352811166446135,5.797964564953398,87.84922426860047
