model,Average Correct to Incorrect,Average Incorrect to Correct,Average No Change
claude-2.1,9.872116562234142,11.709450335029832,78.41843310273602
claude-3-haiku,8.808253581677306,17.078286155388653,74.11346026293404
claude-3-opus,8.30187519192104,9.547552202447593,82.15057260563137
claude-3-sonnet,13.759936172573477,21.618314059818236,64.62174976760828
gemini-pro-chat,7.206108213807046,11.80681163390925,80.98708015228371
gemini-pro-text,6.9765372259258855,11.56671969386962,81.4567430802045
gpt-3.5-turbo,8.064804054142861,9.626290366002877,82.30890557985427
gpt-4-turbo,7.847037395039448,12.146078948233916,80.00688365672664
palm-2-chat,3.3993657555448022,5.384807991442487,91.21582625301271
palm-2-text,2.0491115683129806,8.456773808668862,89.49411462301816
