model,Average Correct to Incorrect,Average Incorrect to Correct,Average No Change
claude-2.1,17.6299901349853,7.8570328121784065,74.5129770528363
claude-3-haiku,13.130696975254248,8.597169706548152,78.2721333181976
claude-3-opus,17.592193569028133,6.849977904856855,75.557828526115
claude-3-sonnet,30.385985457299796,3.6469770836115996,65.9670374590886
gemini-pro-chat,28.087922502982288,2.5562483579949102,69.3558291390228
gemini-pro-text,28.270525963108177,2.8569646053929403,68.87250943149888
gpt-3.5-turbo,14.465209664921854,10.043738176892838,75.49105215818531
gpt-4-turbo,11.059803748542917,9.232387508533465,79.70780874292362
palm-2-chat,6.953272485334468,4.86297050359647,88.18375701106906
palm-2-text,9.221944231868239,4.02542506914309,86.75263069898867
