model,Average Correct to Incorrect,Average Incorrect to Correct,Average No Change
claude-2.1,14.832242664810307,7.479167392713709,77.68858994247599
claude-3-haiku,10.801282695241676,7.7890824663294085,81.40963483842891
claude-3-opus,19.62397056210544,6.593192351420549,73.782837086474
claude-3-sonnet,16.352523873728373,7.632889542159489,76.01458658411214
gemini-pro-chat,6.60635281087402,5.087748470205257,88.30589871892073
gemini-pro-text,6.573706456501226,5.140497882526554,88.28579566097221
gpt-3.5-turbo,6.461769353549969,10.740493502300765,82.79773714414927
gpt-4-turbo,7.856278981659123,5.278783731134978,86.8649372872059
palm-2-chat,2.7332064198990933,5.572806675915974,91.69398690418494
palm-2-text,2.301997839395191,3.7707870387536446,93.92721512185116
