model,Average Correct to Incorrect,Average Incorrect to Correct,Average No Change
claude-2.1,15.824203601957318,6.92067410519772,77.25512229284496
claude-3-haiku,12.820035291045853,6.54957949568315,80.630385213271
claude-3-opus,23.935970026845972,5.470825608967423,70.5932043641866
claude-3-sonnet,19.92193955325762,7.60476072212425,72.47329972461813
gemini-pro-chat,12.087144913054958,2.791313090481931,85.12154199646311
gemini-pro-text,11.97097270248598,2.796652482239985,85.23237481527404
gpt-3.5-turbo,7.145557979941212,5.923760021395938,86.93068199866285
gpt-4-turbo,8.779103461681439,5.406069220209712,85.81482731810885
palm-2-chat,3.5999999999999996,3.5000000000000004,92.9
palm-2-text,2.3724287009289498,1.7229158470194843,95.90465545205156
