task,Average Correct to Incorrect,Average Incorrect to Correct,Average No Change
anli,13.066666666666666,9.816666666666666,77.11666666666666
aqua,14.448818897637796,11.338582677165354,74.21259842519684
gsm8k,10.0303260045489,5.489006823351024,84.48066717210007
math-algebra,10.783487784330244,8.466722830665542,80.74978938500422
math-count-prob,8.60759493670886,6.919831223628693,84.47257383966245
math-geometry,7.766179540709811,7.181628392484344,85.05219206680584
math-int-algebra,6.566998892580289,5.3156146179401995,88.11738648947951
math-number,10.314814814814815,8.777777777777777,80.90740740740742
math-pre-algebra,11.56142365097589,8.025258323765787,80.41331802525832
math-pre-calc,6.007326007326007,5.531135531135531,88.46153846153847
race-h,10.700400228702115,12.830188679245282,76.46941109205261
race-m,9.707520891364902,12.64623955431755,77.64623955431755
strategyqa,32.11353711790393,8.11353711790393,59.772925764192145
triviaqa,24.47,1.92,73.61
winogrande,29.960536700868193,8.808208366219416,61.23125493291239
