task,Average Correct to Incorrect,Average Incorrect to Correct,Average No Change
anli,12.864583333333332,7.708333333333334,79.42708333333333
aqua,15.298087739032622,9.50506186726659,75.19685039370079
gsm8k,10.0303260045489,5.489006823351024,84.48066717210007
math-algebra,15.164279696714408,5.880370682392586,78.95534962089302
math-count-prob,16.947960618846693,6.8213783403656825,76.23066104078762
math-geometry,17.014613778705638,5.010438413361169,77.97494780793319
math-int-algebra,7.715023994093762,5.001845699520119,87.28313030638611
math-number,13.657407407407408,6.851851851851851,79.49074074074073
math-pre-algebra,17.129735935706087,5.39609644087256,77.47416762342135
math-pre-calc,7.582417582417582,5.311355311355311,87.10622710622711
race-h,12.824471126357917,10.102915951972555,77.07261292166953
race-m,9.554317548746518,6.462395543175487,83.983286908078
strategyqa,35.143134400776326,7.617661329451723,57.23920426977195
triviaqa,26.855555555555554,1.7333333333333334,71.41111111111111
winogrande,35.30978689818469,5.751775848460931,58.93843725335438
