task,Average Correct to Incorrect,Average Incorrect to Correct,Average No Change
anli,9.133333333333333,7.908333333333333,82.95833333333333
aqua,11.41732283464567,12.007874015748033,76.57480314960631
gsm8k,9.052312357846855,9.158453373768007,81.78923426838514
halueval-dialogue,5.297,5.103,89.6
halueval-general,1.0605724428666519,1.3179498557798979,97.62147770135346
halueval-qa,7.799000000000001,7.0969999999999995,85.104
halueval-summarization,5.464,5.85,88.686
math-algebra,6.436394271272114,8.466722830665542,85.09688289806233
math-count-prob,6.244725738396625,6.6455696202531644,87.1097046413502
math-geometry,6.346555323590815,5.845511482254698,87.80793319415449
math-int-algebra,5.127353266888151,5.681063122923588,89.19158361018826
math-number,7.055555555555555,7.722222222222223,85.22222222222221
math-pre-algebra,5.809414466130884,7.543053960964409,86.64753157290471
math-pre-calc,5.659340659340659,5.256410256410256,89.08424908424908
race-h,7.810177244139508,7.3584905660377355,84.83133218982275
race-m,7.729805013927576,6.309192200557104,85.96100278551532
strategyqa,24.00873362445415,6.235807860262009,69.75545851528383
triviaqa,28.21,1.81,69.97999999999999
winogrande,19.21073401736385,6.345698500394633,74.44356748224152
