task,Average Correct to Incorrect,Average Incorrect to Correct,Average No Change
anli,12.983333333333334,7.783333333333333,79.23333333333332
aqua,13.32020997375328,8.202099737532807,78.4776902887139
gsm8k,10.962850644427597,3.017437452615618,86.01971190295679
halueval-dialogue,15.015,9.075,75.91
halueval-general,1.037275349456401,0.7266474373197249,98.23607721322388
halueval-qa,14.155000000000001,8.9,76.94500000000001
halueval-summarization,5.804,4.7700000000000005,89.426
math-algebra,8.30665543386689,6.301600673967987,85.39174389216512
math-count-prob,7.9641350210970465,5.537974683544304,86.49789029535864
math-geometry,8.176757132915798,5.70633263743911,86.1169102296451
math-int-algebra,5.149501661129568,4.457364341085271,90.39313399778516
math-number,7.5132275132275135,6.005291005291006,86.48148148148148
math-pre-algebra,7.64638346727899,5.786452353616533,86.56716417910448
math-pre-calc,6.074481074481074,4.517704517704518,89.4078144078144
race-h,12.778730703259006,7.013531541833427,80.20773775490757
race-m,14.728412256267408,8.965877437325906,76.3057103064067
strategyqa,32.43917654398003,5.6893325015595755,61.87149095446039
triviaqa,34.8125,1.125,64.0625
winogrande,23.056432517758484,5.564325177584847,71.37924230465667
